DIMENSION:14473,
14566.6667,88633.3333
14166.6667,86966.6667
14316.6667,87616.6667
13700,87066.6667
13600,87016.6667
14000,87150
13983.3333,87200
15250,88000
14033.3333,87133.3333
14016.6667,87150
15250,88000
15316.6667,88000
14033.3333,87133.3333
14016.6667,87150
14766.6667,87983.3333
14616.6667,88583.3333
14933.3333,87983.3333
15050,88400
14766.6667,88666.6667
15683.3333,87716.6667
15683.3333,87716.6667
13716.6667,87316.6667
14166.6667,86966.6667
14316.6667,87616.6667
14000,88383.3333
14416.6667,87033.3333
15100,88483.3333
15266.6667,87583.3333
14633.3333,87750
14600,88250
14500,86850
14850,85833.3333
14150,86800
14633.3333,88650
14666.6667,88833.3333
15933.3333,85850
13833.3333,86716.6667
14933.3333,88366.6667
14400,89200
15716.6667,87933.3333
15733.3333,86950
15483.3333,87816.6667
15050,86466.6667
14966.6667,88533.3333
14933.3333,87383.3333
14916.6667,87866.6667
14450,87983.3333
15116.6667,88316.6667
15050,88400
13500,86883.3333
14900,88866.6667
14766.6667,89066.6667
14750,87533.3333
15683.3333,88116.6667
14916.6667,88783.3333
14433.3333,89183.3333
14400,87800
14250,86783.3333
13416.6667,86950
15783.3333,86516.6667
15166.6667,86050
14783.3333,87400
15850,85216.6667
15133.3333,88250
14300,88866.6667
14783.3333,89083.3333
14333.3333,89016.6667
14083.3333,87816.6667
14316.6667,88850
14900,88850
14916.6667,89000
14850,89083.3333
14716.6667,88666.6667
13433.3333,87033.3333
14800,87950
13100,87066.6667
15250,85983.3333
13750,87166.6667
14916.6667,88950
14300,86533.3333
13983.3333,87833.3333
13900,87950
14966.6667,88466.6667
14866.6667,87650
14300,88783.3333
14033.3333,88433.3333
14433.3333,87150
14966.6667,88466.6667
14166.6667,88416.6667
14500,87633.3333
14150,87033.3333
14033.3333,87900
14933.3333,87650
14633.3333,88133.3333
14600,86583.3333
15883.3333,85466.6667
15416.6667,85716.6667
15366.6667,86066.6667
15300,85916.6667
15216.6667,85616.6667
15150,86833.3333
15083.3333,88050
15083.3333,86650
14933.3333,87650
14916.6667,87050
14900,86633.3333
14866.6667,87650
14816.6667,87666.6667
14783.3333,86800
14600,86583.3333
15366.6667,86583.3333
15266.6667,87500
15066.6667,87300
15050,87250
14833.3333,87533.3333
14700,87650
14650,87650
14516.6667,87400
14033.3333,87500
14866.6667,87533.3333
14416.6667,87033.3333
14100,86783.3333
14966.6667,88466.6667
14266.6667,87533.3333
14150,88733.3333
14733.3333,85233.3333
14133.3333,87816.6667
14133.3333,87816.6667
13583.3333,87266.6667
13616.6667,87000
14300,88516.6667
14216.6667,88683.3333
15483.3333,86033.3333
14816.6667,89016.6667
14466.6667,89200
13616.6667,86983.3333
14550,86283.3333
15500,86466.6667
15500,86466.6667
13833.3333,87116.6667
13650,86966.6667
13833.3333,87116.6667
14250,86800
15566.6667,84016.6667
15566.6667,84016.6667
16083.3333,86900
15650,86350
15416.6667,83833.3333
15216.6667,83366.6667
14983.3333,83600
14750,87033.3333
14750,87033.3333
15550,87766.6667
15233.3333,87850
15600,86733.3333
15550,87766.6667
15400,87066.6667
15266.6667,88033.3333
15233.3333,87850
15033.3333,88100
14966.6667,87450
15050,86233.3333
14466.6667,87850
15550,87766.6667
16316.6667,86516.6667
14033.3333,87333.3333
14166.6667,87833.3333
15483.3333,83916.6667
15000,89100
15716.6667,87000
15700,87700
14916.6667,89066.6667
14983.3333,88166.6667
15000,83666.6667
15000,83666.6667
15033.3333,83700
14916.6667,86366.6667
15700,87616.6667
15700,87616.6667
15566.6667,87400
14916.6667,86366.6667
15566.6667,87400
14733.3333,86600
14000,87533.3333
13966.6667,87533.3333
14966.6667,88583.3333
15433.3333,84516.6667
15283.3333,83933.3333
15283.3333,83933.3333
15483.3333,83916.6667
15216.6667,83783.3333
15483.3333,83916.6667
15483.3333,83916.6667
14216.6667,85383.3333
14216.6667,85383.3333
13800,87300
15766.6667,84516.6667
15283.3333,83483.3333
14433.3333,88783.3333
14250,87850
14150,87216.6667
14883.3333,83816.6667
14833.3333,83916.6667
15116.6667,83333.3333
15116.6667,83333.3333
15833.3333,84516.6667
15066.6667,83600
13850,87016.6667
15100,87316.6667
14833.3333,88733.3333
14733.3333,84983.3333
14933.3333,83883.3333
15133.3333,83683.3333
14150,87066.6667
13533.3333,86966.6667
15283.3333,85866.6667
13966.6667,86633.3333
15150,88283.3333
14350,86833.3333
14433.3333,88783.3333
14716.6667,86183.3333
14550,87350
14983.3333,88333.3333
14533.3333,87316.6667
15733.3333,87950
15800,87966.6667
15100,88166.6667
14866.6667,86150
14816.6667,87500
13866.6667,86833.3333
13783.3333,87250
14483.3333,89200
15083.3333,88700
15150,87033.3333
13700,87183.3333
13616.6667,87066.6667
14366.6667,87500
16400,86350
15016.6667,83166.6667
15116.6667,83333.3333
15066.6667,83600
15066.6667,83600
15916.6667,86000
15016.6667,87150
14066.6667,85983.3333
14600,87300
15350,86700
15366.6667,86650
15350,86700
14216.6667,88650
14600,87300
14183.3333,88833.3333
15766.6667,87433.3333
15766.6667,87433.3333
15050,88333.3333
14866.6667,86950
13116.6667,87000
15850,87750
15850,87750
15683.3333,87150
15950,85183.3333
14500,87350
14950,88750
14716.6667,87666.6667
15316.6667,85833.3333
15133.3333,88233.3333
15100,87200
14950,88750
14833.3333,86266.6667
14716.6667,87666.6667
13400,87116.6667
13216.6667,87050
14850,88800
15050,87183.3333
14850,86966.6667
13083.3333,87050
15033.3333,88683.3333
15283.3333,88083.3333
14700,86083.3333
13466.6667,87083.3333
15733.3333,87200
13300,86883.3333
14983.3333,87100
14200,86533.3333
15866.6667,87900
15333.3333,87883.3333
14166.6667,87683.3333
15033.3333,87666.6667
15300,88666.6667
14133.3333,87583.3333
15033.3333,86516.6667
14133.3333,87950
14116.6667,87800
13866.6667,86583.3333
13450,87283.3333
13450,86950
13416.6667,86950
14133.3333,87950
14950,88933.3333
14666.6667,88850
14966.6667,87050
13500,87033.3333
13500,87033.3333
15283.3333,88083.3333
15550,87650
13433.3333,87116.6667
15050,88516.6667
15183.3333,88233.3333
15583.3333,86283.3333
13833.3333,86666.6667
13633.3333,87466.6667
13616.6667,87583.3333
15016.6667,88816.6667
13633.3333,87466.6667
15050,87783.3333
14900,87200
15266.6667,85900
14516.6667,86766.6667
15750,87550
14150,88266.6667
14833.3333,88733.3333
14833.3333,88733.3333
14566.6667,89133.3333
14083.3333,86716.6667
15433.3333,84416.6667
15116.6667,88850
14750,88316.6667
15183.3333,88100
15283.3333,85833.3333
15583.3333,86750
15583.3333,86750
14033.3333,87216.6667
13716.6667,87583.3333
14566.6667,86933.3333
15516.6667,88150
15683.3333,86500
14216.6667,88783.3333
13433.3333,87116.6667
13666.6667,86883.3333
13650,86950
15683.3333,87766.6667
15683.3333,87766.6667
15683.3333,87766.6667
15616.6667,87716.6667
15683.3333,87766.6667
14983.3333,87100
14033.3333,88100
14983.3333,87850
14216.6667,88833.3333
14433.3333,88616.6667
15683.3333,86000
14283.3333,88333.3333
15450,85883.3333
15983.3333,85016.6667
15250,85850
14883.3333,86333.3333
13450,87116.6667
14116.6667,88650
14883.3333,89150
15083.3333,83316.6667
13233.3333,87050
15250,85850
15100,86783.3333
13583.3333,86933.3333
15066.6667,83633.3333
15066.6667,83633.3333
15050,83716.6667
14133.3333,88383.3333
13216.6667,87100
15066.6667,83833.3333
15283.3333,88416.6667
15000,83766.6667
15000,83766.6667
15000,83750
15000,83766.6667
14933.3333,83883.3333
13116.6667,87166.6667
14416.6667,87516.6667
13766.6667,87550
13766.6667,87550
13766.6667,87550
15000,86650
15133.3333,84783.3333
14783.3333,84866.6667
15516.6667,84316.6667
14783.3333,84866.6667
14750,84983.3333
14833.3333,86266.6667
15016.6667,83633.3333
15350,87366.6667
15083.3333,88266.6667
14966.6667,88000
14933.3333,87983.3333
15166.6667,83466.6667
15366.6667,86733.3333
15033.3333,86700
13600,86800
13516.6667,87083.3333
13133.3333,87066.6667
14216.6667,87700
14300,88766.6667
13316.6667,87050
14866.6667,89116.6667
14833.3333,89050
14800,89050
15716.6667,87150
14433.3333,88550
15150,88283.3333
15066.6667,88916.6667
14850,88316.6667
14833.3333,88566.6667
14450,87716.6667
14433.3333,89166.6667
14433.3333,88550
14416.6667,88700
14150,87933.3333
14066.6667,88083.3333
13716.6667,87583.3333
13600,86800
13516.6667,87083.3333
13133.3333,87066.6667
15066.6667,88416.6667
15100,86783.3333
14950,88900
14950,88316.6667
14916.6667,87450
14900,86250
14716.6667,87700
14583.3333,88583.3333
14533.3333,87700
14133.3333,88666.6667
14116.6667,88433.3333
14050,88350
13766.6667,87233.3333
13716.6667,87666.6667
13616.6667,87350
13300,87083.3333
13233.3333,87116.6667
13850,87000
13800,87316.6667
13866.6667,87333.3333
14950,87333.3333
13866.6667,87333.3333
13516.6667,87250
13683.3333,86983.3333
15650,87866.6667
15233.3333,83516.6667
14766.6667,88966.6667
15633.3333,87850
15616.6667,87850
15550,87816.6667
15550,87816.6667
15516.6667,87816.6667
15383.3333,83716.6667
15183.3333,84216.6667
16266.6667,86650
16316.6667,86516.6667
16316.6667,86516.6667
16316.6667,86516.6667
15066.6667,86450
14733.3333,88900
15500,87466.6667
15500,87466.6667
13650,87016.6667
14566.6667,87766.6667
14216.6667,86700
14566.6667,87766.6667
14750,88600
14100,87750
13916.6667,88383.3333
15100,88416.6667
14833.3333,87316.6667
14683.3333,86816.6667
13733.3333,87583.3333
13983.3333,87200
13966.6667,87150
13883.3333,87050
15150,87883.3333
13300,86750
14350,87050
15166.6667,87666.6667
15033.3333,86700
14916.6667,87450
14633.3333,86833.3333
14600,88016.6667
14383.3333,86050
14000,87133.3333
13850,87116.6667
13716.6667,87050
13516.6667,86950
13366.6667,87083.3333
13833.3333,86666.6667
15550,86416.6667
15083.3333,88050
14716.6667,87166.6667
13866.6667,87216.6667
13516.6667,86966.6667
13400,86983.3333
13383.3333,87050
14766.6667,87266.6667
14833.3333,87316.6667
15016.6667,87833.3333
15016.6667,87833.3333
15000,87716.6667
14866.6667,88200
14833.3333,87316.6667
14816.6667,86800
14766.6667,87266.6667
14766.6667,87133.3333
13850,87033.3333
13816.6667,87116.6667
15016.6667,87833.3333
14816.6667,86800
13883.3333,87050
13716.6667,87050
13716.6667,87150
14216.6667,88833.3333
14166.6667,88616.6667
14933.3333,88383.3333
15300,87033.3333
14683.3333,88650
15416.6667,86316.6667
13833.3333,88350
15800,85816.6667
14466.6667,89116.6667
14466.6667,89116.6667
14966.6667,88783.3333
14716.6667,87983.3333
14333.3333,87750
14333.3333,87750
15016.6667,88466.6667
15283.3333,86216.6667
14766.6667,88283.3333
15000,88500
15166.6667,86200
13916.6667,86800
13900,87050
14116.6667,88583.3333
14150,87800
14150,87800
13716.6667,86800
13633.3333,87650
15150,88283.3333
15066.6667,88416.6667
13450,86933.3333
14683.3333,86116.6667
14750,88600
14750,88600
15783.3333,87450
15050,88433.3333
15433.3333,86750
14816.6667,88866.6667
14800,88600
14700,88950
14633.3333,88866.6667
14316.6667,88483.3333
14200,88500
13883.3333,86650
13766.6667,87316.6667
13233.3333,87000
14566.6667,87100
14183.3333,88516.6667
14033.3333,87866.6667
13233.3333,87000
15166.6667,83683.3333
13883.3333,88366.6667
14100,87216.6667
15750,86800
15316.6667,87450
14766.6667,88216.6667
15633.3333,88250
15133.3333,87466.6667
14100,87216.6667
15266.6667,86100
15366.6667,86600
15350,86766.6667
15316.6667,87366.6667
15250,88766.6667
14116.6667,88650
15316.6667,86033.3333
15300,83516.6667
15450,85883.3333
15666.6667,84700
15300,83883.3333
15300,83883.3333
14150,87216.6667
14683.3333,87816.6667
14700,87966.6667
13433.3333,86833.3333
15700,85916.6667
14483.3333,88016.6667
14016.6667,87100
15050,88516.6667
15183.3333,88233.3333
15900,84850
15283.3333,83883.3333
15283.3333,83883.3333
15183.3333,83683.3333
15316.6667,86033.3333
14716.6667,86583.3333
15883.3333,85850
15283.3333,88683.3333
15616.6667,87166.6667
15566.6667,87633.3333
15716.6667,87266.6667
15733.3333,85750
14583.3333,86200
13733.3333,87566.6667
14750,88483.3333
14683.3333,88650
13866.6667,87516.6667
13866.6667,87516.6667
15166.6667,86883.3333
14716.6667,86266.6667
14950,88016.6667
15133.3333,87833.3333
14950,88016.6667
14900,87766.6667
15100,88100
15466.6667,86033.3333
15166.6667,86883.3333
14900,87766.6667
15133.3333,87833.3333
14816.6667,89200
14816.6667,89200
13483.3333,87316.6667
14666.6667,87166.6667
13716.6667,86900
13400,87100
13733.3333,86916.6667
13733.3333,86916.6667
15283.3333,88066.6667
15300,83883.3333
14683.3333,87816.6667
14683.3333,87816.6667
13733.3333,87566.6667
13366.6667,87350
14383.3333,88483.3333
14200,88716.6667
13666.6667,87600
15633.3333,87950
14933.3333,86283.3333
14800,89016.6667
14516.6667,87150
13650,87383.3333
13600,87583.3333
13516.6667,87500
14150,87333.3333
14100,87816.6667
14100,88266.6667
14283.3333,87283.3333
14333.3333,88833.3333
14333.3333,88833.3333
14083.3333,88733.3333
14083.3333,88733.3333
15183.3333,86200
14916.6667,87900
13816.6667,88316.6667
13600,87583.3333
15183.3333,86200
15183.3333,86200
13683.3333,87500
14266.6667,87750
13683.3333,87500
13566.6667,87133.3333
13616.6667,87650
14700,87550
14683.3333,88750
14700,87550
14850,85866.6667
14833.3333,86650
14700,88700
14866.6667,86883.3333
14600,87616.6667
14483.3333,87166.6667
14866.6667,86883.3333
14950,87300
14933.3333,86383.3333
14916.6667,88466.6667
14400,87083.3333
15116.6667,87833.3333
13316.6667,87083.3333
13316.6667,87083.3333
14850,88200
15300,83550
15666.6667,84700
15300,83883.3333
15266.6667,86100
15450,86800
15450,86800
16316.6667,86516.6667
15450,87916.6667
13283.3333,87100
14850,87033.3333
14783.3333,89150
14716.6667,88500
14133.3333,88416.6667
14116.6667,88433.3333
13766.6667,87433.3333
14766.6667,86883.3333
13833.3333,88333.3333
15833.3333,85783.3333
15350,88283.3333
15183.3333,87366.6667
15083.3333,86350
14983.3333,88300
14900,88483.3333
14833.3333,87800
14833.3333,87400
14750,87483.3333
14700,88116.6667
14683.3333,88600
14650,86750
14600,87200
14516.6667,87050
14383.3333,87783.3333
14150,86900
14116.6667,86633.3333
14033.3333,87166.6667
13883.3333,86850
13683.3333,87666.6667
14566.6667,87766.6667
14133.3333,87650
14000,86950
15833.3333,84283.3333
15083.3333,83600
15633.3333,86800
14183.3333,86800
13850,87316.6667
14083.3333,86866.6667
15166.6667,88083.3333
14516.6667,87216.6667
14283.3333,86766.6667
13966.6667,87300
13866.6667,87233.3333
14766.6667,86883.3333
14500,87250
14033.3333,88516.6667
15516.6667,87400
15166.6667,88216.6667
14600,88233.3333
14283.3333,87033.3333
14066.6667,87150
14500,88783.3333
13750,86800
14033.3333,88383.3333
14033.3333,88383.3333
14383.3333,88616.6667
14383.3333,88616.6667
15666.6667,87200
14033.3333,88383.3333
14083.3333,86733.3333
13750,86866.6667
14916.6667,86750
14483.3333,87100
14066.6667,87050
13966.6667,87350
14800,88483.3333
14650,88950
14650,88950
14800,88483.3333
14966.6667,85100
14366.6667,88600
14416.6667,88516.6667
14500,88466.6667
15233.3333,86050
14500,88466.6667
14000,87150
14300,88600
14300,88600
14500,89266.6667
14216.6667,88683.3333
15050,86683.3333
14700,86316.6667
15033.3333,88716.6667
15016.6667,88900
14500,89266.6667
14700,89100
14916.6667,87266.6667
15250,88566.6667
14683.3333,84350
14750,88050
14316.6667,87833.3333
15616.6667,86416.6667
15650,87900
13616.6667,87050
14683.3333,84350
15883.3333,84966.6667
14616.6667,84666.6667
15166.6667,84116.6667
15166.6667,84116.6667
15166.6667,84116.6667
14066.6667,86333.3333
14633.3333,88383.3333
15700,85300
15633.3333,87166.6667
15200,87450
14800,84900
15900,84833.3333
14900,83883.3333
14250,88583.3333
15650,87900
14250,88583.3333
14250,88583.3333
15066.6667,87933.3333
14116.6667,88500
14933.3333,85833.3333
14100,87150
15350,87050
14800,88750
14183.3333,87266.6667
15350,87050
14850,88350
13900,86650
15266.6667,87950
13716.6667,86866.6667
13200,86983.3333
13450,87733.3333
15800,85166.6667
13616.6667,87100
13583.3333,87216.6667
13583.3333,87216.6667
13050,86950
15550,86300
15633.3333,86333.3333
14000,87533.3333
13433.3333,87016.6667
14116.6667,88533.3333
15333.3333,88550
15333.3333,87116.6667
14883.3333,89183.3333
14883.3333,88800
14816.6667,87450
14050,87683.3333
14600,87566.6667
13866.6667,87883.3333
13433.3333,87016.6667
15050,87233.3333
15050,87233.3333
13766.6667,87466.6667
13666.6667,87683.3333
14066.6667,88166.6667
14066.6667,88166.6667
14266.6667,88700
15633.3333,87200
15366.6667,85750
15316.6667,87066.6667
15033.3333,87150
14383.3333,88400
14083.3333,87250
14050,86483.3333
13983.3333,88483.3333
13866.6667,88333.3333
13583.3333,87616.6667
13583.3333,87116.6667
15750,87250
14683.3333,89033.3333
14633.3333,87916.6667
14383.3333,87433.3333
13483.3333,86900
14316.6667,86516.6667
14033.3333,88516.6667
16366.6667,86416.6667
16366.6667,86416.6667
14766.6667,84950
15666.6667,84833.3333
13733.3333,86816.6667
15250,88383.3333
14700,89016.6667
14950,88900
14016.6667,88183.3333
15683.3333,87166.6667
15750,87300
15133.3333,88083.3333
14483.3333,87616.6667
13833.3333,88400
14616.6667,87800
13650,86950
15183.3333,86950
15583.3333,87950
14016.6667,88066.6667
15133.3333,84116.6667
15016.6667,88733.3333
14716.6667,88483.3333
15916.6667,85233.3333
14650,87150
14650,87150
14166.6667,87966.6667
14983.3333,85000
15083.3333,84900
14450,89183.3333
13966.6667,87300
14083.3333,87900
14433.3333,88566.6667
14433.3333,88566.6667
15716.6667,85983.3333
15716.6667,85983.3333
14433.3333,89033.3333
13600,87000
14050,88000
14783.3333,87800
14316.6667,88450
13850,86883.3333
14266.6667,88116.6667
14550,88516.6667
15033.3333,86833.3333
14833.3333,86533.3333
15033.3333,86833.3333
14983.3333,85000
14700,88633.3333
14600,87833.3333
15316.6667,86983.3333
14016.6667,88066.6667
15050,86683.3333
13366.6667,86866.6667
14966.6667,87166.6667
14900,87250
14133.3333,88466.6667
14133.3333,87966.6667
15233.3333,88766.6667
15316.6667,87300
15583.3333,87250
15316.6667,87300
14766.6667,84950
14700,85016.6667
15783.3333,84583.3333
15816.6667,85166.6667
14016.6667,88066.6667
13916.6667,87300
14616.6667,87116.6667
14616.6667,87133.3333
14333.3333,87000
14700,85016.6667
14250,86233.3333
14866.6667,87183.3333
14300,86233.3333
15016.6667,83650
15000,88833.3333
14800,88783.3333
15016.6667,88833.3333
14800,88783.3333
14250,86833.3333
14916.6667,89150
14916.6667,89150
14900,89166.6667
14900,89166.6667
14783.3333,88816.6667
14666.6667,89050
14900,89166.6667
15133.3333,84116.6667
14200,88200
15016.6667,86700
14483.3333,88933.3333
14233.3333,88233.3333
14366.6667,87866.6667
14266.6667,88116.6667
14416.6667,88333.3333
14600,87216.6667
16383.3333,86400
16383.3333,86400
14783.3333,88816.6667
13933.3333,88383.3333
14316.6667,86516.6667
16450,85850
13616.6667,86933.3333
15466.6667,86250
14716.6667,84266.6667
14616.6667,84666.6667
14600,84583.3333
14716.6667,84266.6667
14716.6667,84266.6667
13566.6667,87500
15683.3333,87783.3333
15283.3333,88050
14883.3333,88050
14600,88916.6667
14533.3333,87666.6667
14416.6667,89116.6667
14116.6667,87066.6667
13983.3333,87833.3333
13916.6667,87216.6667
13700,86816.6667
13516.6667,86883.3333
15783.3333,86800
16000,85133.3333
14083.3333,88650
13033.3333,87050
16000,85133.3333
13500,87433.3333
16000,85133.3333
13500,87433.3333
16000,85133.3333
15233.3333,87833.3333
15133.3333,87600
15200,88083.3333
14500,86266.6667
13650,86966.6667
15850,87800
15850,87800
13933.3333,87416.6667
14100,87100
13650,86966.6667
14500,86266.6667
14750,87616.6667
15266.6667,87950
15766.6667,87883.3333
14883.3333,88283.3333
15016.6667,88100
14883.3333,88283.3333
15700,87150
15083.3333,86383.3333
15083.3333,86083.3333
15016.6667,88350
15016.6667,88100
14883.3333,88283.3333
14866.6667,87366.6667
14366.6667,88383.3333
14133.3333,88500
14550,88500
14483.3333,88050
14466.6667,87950
14433.3333,86133.3333
14233.3333,88716.6667
14016.6667,88283.3333
13883.3333,88250
13550,87150
13533.3333,87150
14066.6667,87733.3333
14350,87900
14350,87900
14983.3333,88583.3333
15633.3333,87600
15633.3333,87083.3333
15250,87933.3333
14983.3333,88583.3333
14233.3333,88666.6667
14100,87950
14000,88250
13866.6667,87300
14450,88650
14450,88650
14383.3333,89000
14233.3333,88316.6667
13816.6667,88383.3333
13800,88383.3333
13166.6667,87083.3333
13166.6667,86950
15150,88283.3333
15033.3333,89166.6667
15000,88216.6667
14583.3333,88933.3333
14283.3333,88500
14200,87383.3333
14150,88850
13983.3333,87716.6667
14800,88250
14650,87150
15550,87666.6667
14766.6667,88783.3333
15950,85716.6667
14766.6667,88783.3333
15950,85716.6667
14916.6667,86350
14866.6667,87566.6667
14800,87750
14766.6667,88783.3333
14633.3333,87150
14600,87766.6667
14300,88483.3333
14200,87383.3333
14183.3333,86700
14116.6667,88533.3333
14016.6667,87183.3333
14000,88333.3333
14000,87200
13950,86666.6667
13816.6667,86950
13283.3333,87166.6667
14866.6667,89100
15200,87883.3333
15166.6667,87283.3333
14916.6667,88216.6667
14866.6667,89100
14816.6667,88650
14766.6667,88250
14416.6667,89016.6667
14216.6667,87816.6667
14166.6667,88333.3333
14033.3333,88533.3333
13866.6667,88350
13800,87450
13533.3333,87733.3333
13366.6667,86733.3333
14316.6667,87250
14466.6667,88533.3333
13550,87183.3333
13700,87450
15400,86833.3333
15550,88116.6667
15350,87750
15100,87333.3333
14466.6667,88850
13700,87450
14766.6667,85950
14766.6667,85950
15600,87383.3333
15500,88133.3333
15300,85850
14416.6667,87333.3333
14283.3333,87933.3333
14133.3333,86233.3333
13833.3333,87250
13133.3333,87066.6667
14133.3333,88833.3333
15116.6667,87700
15066.6667,87716.6667
14983.3333,89000
14700,86316.6667
14566.6667,88250
14466.6667,89016.6667
14416.6667,89200
14283.3333,88483.3333
14133.3333,88833.3333
14100,87116.6667
13866.6667,88316.6667
13716.6667,87650
13583.3333,87666.6667
13450,87183.3333
14433.3333,88666.6667
14233.3333,88700
14216.6667,88716.6667
14283.3333,88583.3333
13633.3333,87300
14550,87316.6667
14283.3333,88583.3333
14000,87233.3333
13850,86566.6667
