DIMENSION:10639,
60050,24466.6667
60050,24483.3333
60052.7778,24248.6111
60053.8889,24424.4444
60054.1667,24455
60055,24519.4444
60056.3889,24394.7222
60057.7778,24092.7778
60059.1667,24599.1667
60064.4444,24157.7778
60066.6667,20033.3333
60066.6667,20100
60066.6667,20133.3333
60066.6667,20216.6667
60066.6667,20800
60066.6667,21366.6667
60066.6667,22450
60066.6667,22483.3333
60066.6667,22650
60066.6667,22766.6667
60066.6667,22900
60066.6667,23000
60066.6667,23066.6667
60066.6667,23100
60066.6667,23150
60066.6667,23300
60066.6667,23316.6667
60066.6667,23350
60066.6667,23500
60066.6667,23566.6667
60066.6667,23666.6667
60066.6667,23883.3333
60066.6667,24150
60066.6667,24200
60066.6667,24216.6667
60066.6667,24283.3333
60066.6667,24400
60066.6667,24466.6667
60066.6667,24483.3333
60066.6667,24500
60068.8889,24130.2778
60072.2222,24114.1667
60076.6667,24418.0556
60078.8889,24056.6667
60079.4444,24139.7222
60083.3333,19950
60083.3333,20083.3333
60083.3333,20100
60083.3333,20116.6667
60083.3333,20200
60083.3333,20233.3333
60083.3333,20266.6667
60083.3333,20483.3333
60083.3333,20533.3333
60083.3333,20716.6667
60083.3333,22400
60083.3333,22416.6667
60083.3333,22500
60083.3333,22566.6667
60083.3333,22633.3333
60083.3333,22650
60083.3333,22800
60083.3333,23016.6667
60083.3333,23133.3333
60083.3333,23300
60083.3333,23366.6667
60083.3333,23383.3333
60083.3333,23583.3333
60083.3333,23616.6667
60083.3333,23666.6667
60083.3333,23783.3333
60083.3333,24033.3333
60083.3333,24300
60083.3333,24350
60083.8889,24099.1667
60084.7222,24461.1111
60085,24187.2222
60085,24436.9444
60085.2778,24229.7222
60091.1111,24314.7222
60091.9444,24508.0556
60092.2222,24394.4444
60095.2778,24196.6667
60097.7778,24509.1667
60097.7778,24561.6667
60098.8889,24413.8889
60100,19833.3333
60100,19850
60100,19900
60100,19950
60100,20266.6667
60100,20516.6667
60100,20550
60100,21666.6667
60100,22450
60100,22516.6667
60100,22533.3333
60100,22616.6667
60100,22733.3333
60100,22750
60100,22850
60100,22866.6667
60100,23033.3333
60100,23183.3333
60100,23233.3333
60100,23250
60100,23400
60100,23516.6667
60100,23533.3333
60100,23683.3333
60100,23733.3333
60100,23750
60100,23900
60100,23950
60100,24163.3333
60100,24583.3333
60100,24633.3333
60101.3889,24080
60101.6667,24010.5556
60101.6667,24423.3333
60103.3333,24494.7222
60104.4444,24546.6667
60106.3889,24299.1667
60108.3333,24570.8333
60110.5556,24171.6667
60110.5556,24398.3333
60110.8333,24295.8333
60116.1111,24321.9444
60116.3889,24212.5
60116.6667,19766.6667
60116.6667,19950
60116.6667,20016.6667
60116.6667,20233.3333
60116.6667,20250
60116.6667,21483.3333
60116.6667,21500
60116.6667,21550
60116.6667,21616.6667
60116.6667,21650
60116.6667,21883.3333
60116.6667,22566.6667
60116.6667,22600
60116.6667,22700
60116.6667,22950
60116.6667,23000
60116.6667,23066.6667
60116.6667,23133.3333
60116.6667,23500
60116.6667,23550
60116.6667,23600
60116.6667,23716.6667
60116.6667,23850
60116.6667,23966.6667
60116.6667,24133.3333
60116.6667,24216.6667
60116.6667,24433.3333
60116.6667,24483.3333
60116.6667,24633.3333
60116.9444,24715
60119.7222,24018.3333
60120,24425.8333
60121.9444,24246.9444
60121.9444,24405
60122.2222,24287.2222
60123.3333,24473.0556
60127.5,24387.7778
60129.4444,24413.6111
60129.7222,24428.8889
60130,24459.4444
60130.2778,24706.6667
60131.9444,24238.3333
60133.0556,24685.2778
60133.3333,19833.3333
60133.3333,19900
60133.3333,19950
60133.3333,19966.6667
60133.3333,19983.3333
60133.3333,20283.3333
60133.3333,20666.6667
60133.3333,21483.3333
60133.3333,21533.3333
60133.3333,21600
60133.3333,21633.3333
60133.3333,21733.3333
60133.3333,21750
60133.3333,21783.3333
60133.3333,21966.6667
60133.3333,22033.3333
60133.3333,22466.6667
60133.3333,22600
60133.3333,22616.6667
60133.3333,22633.3333
60133.3333,22683.3333
60133.3333,22783.3333
60133.3333,22833.3333
60133.3333,22916.6667
60133.3333,22983.3333
60133.3333,23050
60133.3333,23166.6667
60133.3333,23216.6667
60133.3333,23550
60133.3333,23700
60133.3333,23766.6667
60133.3333,23883.3333
60133.3333,24050
60133.3333,24266.6667
60133.3333,24500
60133.3333,24600
60133.3333,24616.6667
60133.3333,24650
60134.1667,24220.8333
60136.1111,24516.3889
60136.3889,24441.1111
60142.5,24506.3889
60142.7778,24693.3333
60143.8889,24096.9444
60145.2778,24519.1667
60146.1111,24383.6111
60146.9444,24218.0556
60147.7778,24144.1667
60148.8889,24706.6667
60148.8889,25043.3333
60150,19600
60150,19716.6667
60150,19766.6667
60150,19850
60150,19866.6667
60150,19950
60150,19966.6667
60150,19983.3333
60150,20233.3333
60150,20300
60150,21300
60150,21566.6667
60150,21633.3333
60150,21750
60150,21766.6667
60150,21816.6667
60150,21883.3333
60150,22116.6667
60150,22266.6667
60150,22550
60150,22633.3333
60150,22883.3333
60150,23000
60150,23050
60150,23183.3333
60150,23266.6667
60150,23383.3333
60150,23550
60150,23583.3333
60150,23616.6667
60150,23750
60150,23766.6667
60150,23983.3333
60150,24166.6667
60150,24416.6667
60150,24550
60150,24600
60150,24750
60150,24766.6667
60150.2778,24638.8889
60151.6667,24208.0556
60151.6667,24730.5556
60151.9444,24050.5556
60152.2222,24673.3333
60153.3333,24528.8889
60154.7222,24928.8889
60155.5556,24194.7222
60155.5556,24697.7778
60156.1111,24702.2222
60156.9444,24294.4444
60157.7778,24665.5556
60158.0556,24873.3333
60159.4444,25111.6667
60159.7222,24749.4444
60160,24245
60160.8333,24711.6667
60161.9444,25048.8889
60165.2778,25077.5
60165.5556,24607.7778
60166.3889,24969.4444
60166.6667,19533.3333
60166.6667,19883.3333
60166.6667,19950
60166.6667,20016.6667
60166.6667,20333.3333
60166.6667,20400
60166.6667,21533.3333
60166.6667,21550
60166.6667,21566.6667
60166.6667,21666.6667
60166.6667,21750
60166.6667,21766.6667
60166.6667,21800
60166.6667,21950
60166.6667,22000
60166.6667,22050
60166.6667,22116.6667
60166.6667,22550
60166.6667,22566.6667
60166.6667,22633.3333
60166.6667,22683.3333
60166.6667,22750
60166.6667,22800
60166.6667,22833.3333
60166.6667,23000
60166.6667,23033.3333
60166.6667,23100
60166.6667,23133.3333
60166.6667,23266.6667
60166.6667,23300
60166.6667,23350
60166.6667,23566.6667
60166.6667,23833.3333
60166.6667,23916.6667
60166.6667,23950
60166.6667,24066.6667
60166.6667,24100
60166.6667,24174.1667
60166.6667,24400
60166.6667,24483.3333
60166.6667,24566.6667
60166.6667,24600
60166.6667,24616.6667
60166.6667,24800
60168.3333,24456.1111
60168.3333,24932.5
60169.7222,24296.3889
60170.2778,24026.3889
60170.5556,24929.7222
60170.8333,24473.0556
60171.3889,24635.5556
60171.9444,24742.5
60172.5,24152.5
60173.0556,24110
60173.3333,24674.4444
60173.6111,24956.3889
60174.1667,24607.2222
60174.4444,24944.4444
60175.5556,24934.1667
60175.5556,25048.6111
60177.2222,24435.2778
60178.6111,24705
60179.7222,24243.8889
60181.6667,24818.6111
60181.6667,24924.4444
60182.5,24939.4444
60183.0556,24758.8889
60183.3333,19583.3333
60183.3333,19650
60183.3333,19800
60183.3333,19933.3333
60183.3333,19950
60183.3333,19966.6667
60183.3333,19983.3333
60183.3333,20266.6667
60183.3333,20750
60183.3333,21333.3333
60183.3333,21516.6667
60183.3333,21600
60183.3333,21750
60183.3333,21766.6667
60183.3333,21866.6667
60183.3333,21916.6667
60183.3333,22033.3333
60183.3333,22050
60183.3333,22333.3333
60183.3333,22533.3333
60183.3333,22700
60183.3333,22750
60183.3333,22800
60183.3333,22866.6667
60183.3333,22966.6667
60183.3333,23133.3333
60183.3333,23200
60183.3333,23216.6667
60183.3333,23250
60183.3333,23616.6667
60183.3333,23650
60183.3333,23700
60183.3333,23750
60183.3333,23833.3333
60183.3333,23883.3333
60183.3333,24119.7222
60183.3333,24133.3333
60183.3333,24200
60183.3333,24950
60185.5556,24030.2778
60186.1111,24974.7222
60186.3889,25008.8889
60186.9444,24567.2222
60188.0556,24900.5556
60188.3333,24089.1667
60189.1667,24611.1111
60189.4444,24835.8333
60190,25064.4444
60190.5556,24012.2222
60190.8333,24284.4444
60191.6667,24510
60192.5,24773.6111
60193.3333,24749.7222
60195.8333,24966.6667
60196.1111,24258.6111
60196.6667,24931.1111
60197.5,24240.2778
60197.7778,24348.8889
60197.7778,24648.6111
60198.8889,24604.7222
60198.8889,25038.3333
60199.4444,24875.2778
60199.7222,24386.1111
60200,19616.6667
60200,19666.6667
60200,19700
60200,19783.3333
60200,19800
60200,19916.6667
60200,20083.3333
60200,20150
60200,20283.3333
60200,20300
60200,20383.3333
60200,20700
60200,21316.6667
60200,21450
60200,21633.3333
60200,21766.6667
60200,21850
60200,21883.3333
60200,22066.6667
60200,22233.3333
60200,22266.6667
60200,22483.3333
60200,22550
60200,22600
60200,22700
60200,22716.6667
60200,22783.3333
60200,22800
60200,22833.3333
60200,23133.3333
60200,23166.6667
60200,23250
60200,23283.3333
60200,23383.3333
60200,23633.3333
60200,23733.3333
60200,23800
60200,23866.6667
60200,24000
60200,24100
60200,24300
60200,24500
60200,24550
60200,24666.6667
60200,25533.3333
60200.8333,24906.9444
60201.6667,24677.7778
60201.9444,24900.2778
60202.2222,24711.6667
60203.3333,25086.6667
60203.6111,24733.3333
60204.7222,25119.1667
60205,24574.7222
60205,24824.7222
60205.2778,24602.5
60206.6667,24116.3889
60207.2222,24968.0556
60210.5556,25161.1111
60210.8333,24631.9444
60211.6667,24551.6667
60213.6111,24024.1667
60214.1667,25100.5556
60214.4444,24947.5
60214.7222,24976.3889
60215.5556,24805
60216.1111,24300.8333
60216.1111,24899.1667
60216.6667,19566.6667
60216.6667,19633.3333
60216.6667,19716.6667
60216.6667,19750
60216.6667,19900
60216.6667,19983.3333
60216.6667,20100
60216.6667,20166.6667
60216.6667,20183.3333
60216.6667,20250
60216.6667,20416.6667
60216.6667,21283.3333
60216.6667,21333.3333
60216.6667,21350
60216.6667,21383.3333
60216.6667,21450
60216.6667,21816.6667
60216.6667,22000
60216.6667,22200
60216.6667,22216.6667
60216.6667,22283.3333
60216.6667,22333.3333
60216.6667,22600
60216.6667,22633.3333
60216.6667,22816.6667
60216.6667,22916.6667
60216.6667,23100
60216.6667,23283.3333
60216.6667,23400
60216.6667,23416.6667
60216.6667,23450
60216.6667,23550
60216.6667,23666.6667
60216.6667,23700
60216.6667,23850
60216.6667,23900
60216.6667,23983.3333
60216.6667,24661.1111
60216.6667,24666.6667
60216.6667,24783.3333
60216.6667,24900
60216.6667,25850
60216.6667,25883.3333
60216.9444,24683.3333
60217.2222,24742.5
60217.5,24812.5
60218.8889,24245.8333
60220,24611.9444
60220.2778,24463.3333
60220.8333,24490.8333
60221.1111,24842.5
60221.3889,24962.5
60221.6667,24964.7222
60223.8889,24306.6667
60226.1111,24927.2222
60227.2222,24630.8333
60227.5,25011.1111
60231.3889,24966.6667
60232.7778,25094.4444
60233.3333,19666.6667
60233.3333,19716.6667
60233.3333,19783.3333
60233.3333,19850
60233.3333,20000
60233.3333,20066.6667
60233.3333,20083.3333
60233.3333,20133.3333
60233.3333,20383.3333
60233.3333,21350
60233.3333,21583.3333
60233.3333,21816.6667
60233.3333,22233.3333
60233.3333,22500
60233.3333,22550
60233.3333,22650
60233.3333,22766.6667
60233.3333,22833.3333
60233.3333,22850
60233.3333,22950
60233.3333,23400
60233.3333,23483.3333
60233.3333,23666.6667
60233.3333,23750
60233.3333,23883.3333
60233.3333,23916.6667
60233.3333,24400
60233.3333,24700
60233.3333,24816.6667
60233.3333,25450
60233.3333,25916.6667
60233.6111,24923.0556
60233.6111,25167.7778
60240.8333,24980.8333
60242.7778,24947.7778
60250,19700
60250,19750
60250,19766.6667
60250,19883.3333
60250,19916.6667
60250,19966.6667
60250,20033.3333
60250,20100
60250,20200
60250,20233.3333
60250,20350
60250,20383.3333
60250,21333.3333
60250,21383.3333
60250,21400
60250,21550
60250,21583.3333
60250,21616.6667
60250,21766.6667
60250,21966.6667
60250,22066.6667
60250,22166.6667
60250,22183.3333
60250,22200
60250,22216.6667
60250,22316.6667
60250,22650
60250,22783.3333
60250,22883.3333
60250,22950
60250,23083.3333
60250,23150
60250,23250
60250,23266.6667
60250,23333.3333
60250,23383.3333
60250,23433.3333
60250,23583.3333
60250,23716.6667
60250,23750
60250,23900
60250,24083.3333
60250,24283.3333
60250,24300
60250,24450
60250,24500
60250,24600
60250,24766.6667
60250,25333.3333
60250,25350
60250,25400
60250,25650
60250,25900
60250,25950
60250.2778,25009.7222
60251.1111,24866.9444
60253.8889,25245
60255.8333,25142.2222
60256.3889,25291.6667
60257.5,24930.2778
60257.7778,25192.7778
60258.0556,24875.5556
60260,25148.0556
60260.2778,25026.1111
60260.2778,25068.6111
60266.6667,19700
60266.6667,19933.3333
60266.6667,19983.3333
60266.6667,20150
60266.6667,20366.6667
60266.6667,20783.3333
60266.6667,21416.6667
60266.6667,21600
60266.6667,22300
60266.6667,22516.6667
60266.6667,22550
60266.6667,22600
60266.6667,22633.3333
60266.6667,22650
60266.6667,22900
60266.6667,23133.3333
60266.6667,23200
60266.6667,23350
60266.6667,23483.3333
60266.6667,23633.3333
60266.6667,23783.3333
60266.6667,23916.6667
60266.6667,23966.6667
60266.6667,24000
60266.6667,24033.3333
60266.6667,24100
60266.6667,24166.6667
60266.6667,24450
60266.6667,24516.6667
60266.6667,24666.6667
60266.6667,24750
60266.6667,24783.3333
60266.6667,24816.6667
60266.6667,24933.3333
60266.6667,25050
60266.6667,25100
60266.6667,25116.6667
60266.6667,25283.3333
60266.6667,25350
60266.6667,25500
60266.6667,25650
60266.6667,25783.3333
60266.6667,25883.3333
60266.6667,25950
60266.6667,25983.3333
60283.3333,19916.6667
60283.3333,19933.3333
60283.3333,20000
60283.3333,20050
60283.3333,20116.6667
60283.3333,20250
60283.3333,20400
60283.3333,21566.6667
60283.3333,21933.3333
60283.3333,21950
60283.3333,22100
60283.3333,22116.6667
60283.3333,22166.6667
60283.3333,22183.3333
60283.3333,22200
60283.3333,22216.6667
60283.3333,22250
60283.3333,22366.6667
60283.3333,22433.3333
60283.3333,22483.3333
60283.3333,22500
60283.3333,22516.6667
60283.3333,22566.6667
60283.3333,22616.6667
60283.3333,22633.3333
60283.3333,22700
60283.3333,22866.6667
60283.3333,22983.3333
60283.3333,23466.6667
60283.3333,23533.3333
60283.3333,23650
60283.3333,23766.6667
60283.3333,23783.3333
60283.3333,23983.3333
60283.3333,24066.6667
60283.3333,24200
60283.3333,24250
60283.3333,24366.6667
60283.3333,24400
60283.3333,24683.3333
60283.3333,24983.3333
60283.3333,25033.3333
60283.3333,25150
60283.3333,25500
60283.3333,25600
60283.3333,25700
60283.3333,25800
60283.3333,25866.6667
60283.3333,26016.6667
60283.3333,26083.3333
60283.3333,26133.3333
60283.3333,27200
60300,19783.3333
60300,19833.3333
60300,20133.3333
60300,21066.6667
60300,21233.3333
60300,21300
60300,21900
60300,21950
60300,22133.3333
60300,22150
60300,22200
60300,22250
60300,22300
60300,22350
60300,22450
60300,22516.6667
60300,22533.3333
60300,22600
60300,22616.6667
60300,22783.3333
60300,22833.3333
60300,22900
60300,22966.6667
60300,23250
60300,23366.6667
60300,23550
60300,23566.6667
60300,23650
60300,23750
60300,23783.3333
60300,23866.6667
60300,23933.3333
60300,24133.3333
60300,24233.3333
60300,24350
60300,24633.3333
60300,24700
60300,24850
60300,24866.6667
60300,25000
60300,25050
60300,25066.6667
60300,25266.6667
60300,25300
60300,25316.6667
60300,25366.6667
60300,25866.6667
60300,25966.6667
60300,26133.3333
60316.6667,19866.6667
60316.6667,19983.3333
60316.6667,20016.6667
60316.6667,20083.3333
60316.6667,20983.3333
60316.6667,22133.3333
60316.6667,22150
60316.6667,22183.3333
60316.6667,22216.6667
60316.6667,22283.3333
60316.6667,22300
60316.6667,22383.3333
60316.6667,22416.6667
60316.6667,22466.6667
60316.6667,22550
60316.6667,22600
60316.6667,22633.3333
60316.6667,22650
60316.6667,22900
60316.6667,22950
60316.6667,23100
60316.6667,23133.3333
60316.6667,23216.6667
60316.6667,23283.3333
60316.6667,23650
60316.6667,23816.6667
60316.6667,23866.6667
60316.6667,24016.6667
60316.6667,24066.6667
60316.6667,24100
60316.6667,24233.3333
60316.6667,24583.3333
60316.6667,24683.3333
60316.6667,24700
60316.6667,25016.6667
60316.6667,25083.3333
60316.6667,25400
60316.6667,25500
60316.6667,25733.3333
60316.6667,25766.6667
60316.6667,25866.6667
60316.6667,26116.6667
60333.3333,19950
60333.3333,20050
60333.3333,20766.6667
60333.3333,20916.6667
60333.3333,21900
60333.3333,21966.6667
60333.3333,21983.3333
60333.3333,22166.6667
60333.3333,22366.6667
60333.3333,22383.3333
60333.3333,22400
60333.3333,22416.6667
60333.3333,22450
60333.3333,22566.6667
60333.3333,22600
60333.3333,22650
60333.3333,22733.3333
60333.3333,22800
60333.3333,23016.6667
60333.3333,23400
60333.3333,23433.3333
60333.3333,23566.6667
60333.3333,23700
60333.3333,23800
60333.3333,23883.3333
60333.3333,23933.3333
60333.3333,24150
60333.3333,24333.3333
60333.3333,24366.6667
60333.3333,24433.3333
60333.3333,24833.3333
60333.3333,24966.6667
60333.3333,25066.6667
60333.3333,25150
60333.3333,25250
60333.3333,25300
60333.3333,25550
60333.3333,25583.3333
60333.3333,25683.3333
60333.3333,25733.3333
60333.3333,25866.6667
60333.3333,26100
60350,19583.3333
60350,19800
60350,19983.3333
60350,20000
60350,20333.3333
60350,21100
60350,21133.3333
60350,21166.6667
60350,21666.6667
60350,21966.6667
60350,22016.6667
60350,22166.6667
60350,22200
60350,22233.3333
60350,22250
60350,22333.3333
60350,22400
60350,22433.3333
60350,22500
60350,22583.3333
60350,22650
60350,22700
60350,23250
60350,23283.3333
60350,23450
60350,23566.6667
60350,23650
60350,23700
60350,23800
60350,24050
60350,24150
60350,24183.3333
60350,24250
60350,24533.3333
60350,24650
60350,24833.3333
60350,24850
60350,25100
60350,25133.3333
60350,25316.6667
60350,25483.3333
60350,25500
60350,25533.3333
60350,25616.6667
60350,25666.6667
60350,25850
60350,26050
60366.6667,19766.6667
60366.6667,20133.3333
60366.6667,20466.6667
60366.6667,21350
60366.6667,21866.6667
60366.6667,21933.3333
60366.6667,21950
60366.6667,22000
60366.6667,22150
60366.6667,22200
60366.6667,22216.6667
60366.6667,22300
60366.6667,22316.6667
60366.6667,22366.6667
60366.6667,22383.3333
60366.6667,22616.6667
60366.6667,22666.6667
60366.6667,22750
60366.6667,22850
60366.6667,22983.3333
60366.6667,23116.6667
60366.6667,23133.3333
60366.6667,23300
60366.6667,23416.6667
60366.6667,23466.6667
60366.6667,23550
60366.6667,23583.3333
60366.6667,23600
60366.6667,23966.6667
60366.6667,24066.6667
60366.6667,24133.3333
60366.6667,24233.3333
60366.6667,24300
60366.6667,24383.3333
60366.6667,24500
60366.6667,24583.3333
60366.6667,24983.3333
60366.6667,25066.6667
60366.6667,25266.6667
60366.6667,25283.3333
60366.6667,25433.3333
60366.6667,25550
60366.6667,25633.3333
60366.6667,25900
60366.6667,25983.3333
60366.6667,26016.6667
60366.6667,26433.3333
60383.3333,19833.3333
60383.3333,19850
60383.3333,19883.3333
60383.3333,21033.3333
60383.3333,21400
60383.3333,21883.3333
60383.3333,22150
60383.3333,22166.6667
60383.3333,22183.3333
60383.3333,22200
60383.3333,22233.3333
60383.3333,22316.6667
60383.3333,22400
60383.3333,22416.6667
60383.3333,22433.3333
60383.3333,22533.3333
60383.3333,22550
60383.3333,22583.3333
60383.3333,22600
60383.3333,22633.3333
60383.3333,22650
60383.3333,22783.3333
60383.3333,23133.3333
60383.3333,23283.3333
60383.3333,23300
60383.3333,23450
60383.3333,23533.3333
60383.3333,23716.6667
60383.3333,23883.3333
60383.3333,23933.3333
60383.3333,23983.3333
60383.3333,24033.3333
60383.3333,24233.3333
60383.3333,24300
60383.3333,24533.3333
60383.3333,24633.3333
60383.3333,24750
60383.3333,24766.6667
60383.3333,25116.6667
60383.3333,25233.3333
60383.3333,25283.3333
60383.3333,25300
60383.3333,25850
60383.3333,25900
60383.3333,26333.3333
60400,19783.3333
60400,21383.3333
60400,21400
60400,22166.6667
60400,22250
60400,22300
60400,22600
60400,22650
60400,22783.3333
60400,23083.3333
60400,23100
60400,23183.3333
60400,23316.6667
60400,23583.3333
60400,23766.6667
60400,23883.3333
60400,23950
60400,24066.6667
60400,24500
60400,24950
60400,25033.3333
60400,25116.6667
60400,25400
60400,25433.3333
60400,25466.6667
60400,25500
60400,25633.3333
60400,25650
60400,25666.6667
60400,25733.3333
60400,25883.3333
60400,26000
60400,26150
60400,26250
60400,26333.3333
60400,26550
60416.6667,21000
60416.6667,21016.6667
60416.6667,21050
60416.6667,21216.6667
60416.6667,21416.6667
60416.6667,21716.6667
60416.6667,21916.6667
60416.6667,22133.3333
60416.6667,22183.3333
60416.6667,22233.3333
60416.6667,22283.3333
60416.6667,22333.3333
60416.6667,22416.6667
60416.6667,22433.3333
60416.6667,22466.6667
60416.6667,22550
60416.6667,22650
60416.6667,22666.6667
60416.6667,22766.6667
60416.6667,22866.6667
60416.6667,22900
60416.6667,22983.3333
60416.6667,23050
60416.6667,23216.6667
60416.6667,23283.3333
60416.6667,23350
60416.6667,23516.6667
60416.6667,23816.6667
60416.6667,23950
60416.6667,24033.3333
60416.6667,24050
60416.6667,24083.3333
60416.6667,24116.6667
60416.6667,24183.3333
60416.6667,24300
60416.6667,24316.6667
60416.6667,24333.3333
60416.6667,24450
60416.6667,24716.6667
60416.6667,24966.6667
60416.6667,25016.6667
60416.6667,25033.3333
60416.6667,25250
60416.6667,25800
60416.6667,26016.6667
60416.6667,26100
60416.6667,26233.3333
60416.6667,26250
60416.6667,26383.3333
60416.6667,27416.6667
60433.3333,21033.3333
60433.3333,21800
60433.3333,21916.6667
60433.3333,22000
60433.3333,22066.6667
60433.3333,22100
60433.3333,22200
60433.3333,22483.3333
60433.3333,22516.6667
60433.3333,22533.3333
60433.3333,22600
60433.3333,22616.6667
60433.3333,22916.6667
60433.3333,23033.3333
60433.3333,23050
60433.3333,23216.6667
60433.3333,23266.6667
60433.3333,23283.3333
60433.3333,23333.3333
60433.3333,23566.6667
60433.3333,23583.3333
60433.3333,23850
60433.3333,23900
60433.3333,23950
60433.3333,24316.6667
60433.3333,24383.3333
60433.3333,24533.3333
60433.3333,24866.6667
60433.3333,24933.3333
60433.3333,25066.6667
60433.3333,25400
60433.3333,25600
60433.3333,25766.6667
60433.3333,25783.3333
60433.3333,26233.3333
60433.3333,26433.3333
60433.3333,26600
60433.3333,26883.3333
60433.3333,27050
60450,20950
60450,21083.3333
60450,21650
60450,21850
60450,21916.6667
60450,21950
60450,22033.3333
60450,22150
60450,22283.3333
60450,22533.3333
60450,22683.3333
60450,22700
60450,22916.6667
60450,23283.3333
60450,23350
60450,23550
60450,23583.3333
60450,23783.3333
60450,23950
60450,23983.3333
60450,24066.6667
60450,24166.6667
60450,24200
60450,24250
60450,24483.3333
60450,24600
60450,24700
60450,24933.3333
60450,25350
60450,25366.6667
60450,25583.3333
60450,25616.6667
60450,25633.3333
60450,25750
60450,25950
60450,26000
60450,26050
60450,26133.3333
60450,26233.3333
60450,26383.3333
60450,26400
60450,26733.3333
60450,26900
60466.6667,21666.6667
60466.6667,21700
60466.6667,22066.6667
60466.6667,22183.3333
60466.6667,22233.3333
60466.6667,22350
60466.6667,22366.6667
60466.6667,22566.6667
60466.6667,22650
60466.6667,22683.3333
60466.6667,22733.3333
60466.6667,22750
60466.6667,22983.3333
60466.6667,23016.6667
60466.6667,23250
60466.6667,23333.3333
60466.6667,23566.6667
60466.6667,23683.3333
60466.6667,23816.6667
60466.6667,23900
60466.6667,23983.3333
60466.6667,24066.6667
60466.6667,24300
